Question,AI Model,Response,Agent,Context
When is the men's 100m finals in Paris 2024?,Agent based GPT-4o-mini,"The men's 100m final at the Paris 2024 Olympics is scheduled for August 4, 2024, starting at 21:50. The event will take place at the Stade de France, and the closest metro station is Stade de France - Saint-Denis (RER D).",Schedule,"          Date      Sport                         Event  Time  \
415   August 3  athletics          100m final - women's  2120   
473   August 4  athletics            100m final - men's  2150   
721   August 9  athletics  4x100m relay final - women's  1930   
723   August 9  athletics    4x100m relay final - men's  1945   
767  August 10  athletics  100m hurdles final - women's  1945   

    Additional details         Location  \
415                NaN  stade de france   
473                NaN  stade de france   
721                NaN  stade de france   
723                NaN  stade de france   
767                NaN  stade de france   

                             Closest Metro Start time  
415  stade de france - saint-denis (rer d)      21:20  
473  stade de france - saint-denis (rer d)      21:50  
721  stade de france - saint-denis (rer d)      19:30  
723  stade de france - saint-denis (rer d)      19:45  
767  stade de france - saint-denis (rer d)      19:45  "
When is the men's 100m finals in Paris 2024?,ChatGPT GPT-4o,"The men's 100m final at the Paris 2024 Olympics is scheduled for Sunday, August 4, at 21:50 CEST (Paris local time). The competition begins the day before, on August 3, with the preliminary rounds and heats starting in the morning. The semi-finals and final rounds will both take place on August 4, with the semi-finals at 20:00, leading up to the final later that night at the Stade de France.",Schedule,
When is the men's 100m finals in Paris 2024?,Gemini,"The men's 100m finals at the Paris 2024 Olympics took place on August 4, 2024.

",Schedule,
When is the men's 100m finals in Paris 2024?,Meta AI,"The men's 100m finals in Paris 2024 took place on August 4, 2024 ¹ ². This highly anticipated event featured a stacked field, including defending Olympic 100m champion Lamont Marcell Jacobs of Italy, world No. 1 Noah Lyles of the USA, and Jamaica's Kishane Thompson, who had the world-leading time of 9.77 seconds ³.
In the end, Noah Lyles took home the gold medal with a photo finish, edging out Kishane Thompson by just five-thousandths of a second ¹ ². Lyles' official time was 9.784 seconds, while Thompson finished with a time of 9.789 seconds ¹. Fred Kerley of the USA secured the bronze medal with a time of 9.81 seconds ¹ ².
Would you like to know more about the Paris 2024 Olympics or the men's 100m event?",Schedule,
Which is the nearest metro to Stade de France for Paris 2024?,Agent based GPT-4o-mini,"The nearest metro station to Stade de France for the Paris 2024 Olympics is ""stade de france - saint-denis (rer d).""",Schedule,"0      stade de france - saint-denis (rer d)
5      stade de france - saint-denis (rer d)
6      stade de france - saint-denis (rer d)
25     stade de france - saint-denis (rer d)
77     stade de france - saint-denis (rer d)
                       ...                  
768    stade de france - saint-denis (rer d)
769    stade de france - saint-denis (rer d)
770    stade de france - saint-denis (rer d)
771    stade de france - saint-denis (rer d)
800    stade de france - saint-denis (rer d)
Name: Closest Metro, Length: 147, dtype: object"
Which is the nearest metro to Stade de France for Paris 2024?,ChatGPT GPT-4o,"For the Paris 2024 Olympics, **Stade de France** will be served by the following nearby metro and RER (regional train) stations:

### 1. **La Plaine - Stade de France** (RER B)
   - **Distance**: About a 10-minute walk to the stadium.
   - **Line**: RER B (blue line), which runs through central Paris, including Gare du Nord and Châtelet-Les Halles.
   - **Best for**: Direct access from central and southern Paris, as well as Charles de Gaulle Airport.

### 2. **Stade de France - Saint-Denis** (RER D)
   - **Distance**: About a 5-minute walk to the stadium.
   - **Line**: RER D (green line), which also connects with major stations like Gare de Lyon and Châtelet-Les Halles.
   - **Best for**: Access from various parts of Paris and its suburbs. This is typically the closest station to the stadium.

### 3. **Metro Line 13** (Saint-Denis - Porte de Paris)
   - **Distance**: About a 15–20-minute walk to the stadium.
   - **Line**: Metro Line 13 (light blue), which passes through Montparnasse and Saint-Lazare.
   - **Best for**: People staying in central Paris or the western parts of the city.

### Recommended Routes for the Games
For quick access, RER B and D lines are generally faster than Metro Line 13. These RER trains offer direct routes to Stade de France with frequent service, especially for major events like the Olympics.",Schedule,
Which is the nearest metro to Stade de France for Paris 2024?,Meta AI,"If you're heading to the Stade de France for the Paris 2024 Olympics, you've got several metro options to choose from.
Metro Line 12: Get off at Front Populaire station ¹.
Metro Line 13: St Denis - Porte de Paris station is your stop ¹ ².
Metro Line 14: Alight at St Denis - Pleyel station ¹.
Additionally, you can also take the RER train lines B and D from Châtelet (10-minute ride) and Gare de Nord (5-minute ride) ².
RER Line B: Get off at La Plaine Stade de France station ¹ ².
RER Line D: Stade de France - St Denis station is where you'll want to get off ¹ ².
Tram lines 1 and 8 are also available options ¹ ².
Tram Line 1: Stop at St Denis Basilique station ¹.
Tram Line 8: Get off at St Denis - Porte de Paris station ¹.
These transportation options will get you to the Stade de France in no time! ¹ ²",Schedule,
Which is the nearest metro to Stade de France for Paris 2024?,Gemini,"Unfortunately, I couldn't find any public transit directions to the Stade de France. However, I did find these metro stations near it:

* [Saint-Denis - Porte de Paris](https://www.sortiesdumetro.fr/saint-denis-porte-de-paris.php) at 93200 Saint-Denis, France. It has a 3.9 star rating on [Google Maps](https://maps.google.com/?cid=9166706517473841615).
* [La Plaine – Stade de France](https://www.sortiesdumetro.fr/la-plaine-stade-de-france.php) at Place des Droits de l'Homme, 93200 Saint-Denis, France. It has a 4.1 star rating on [Google Maps](https://maps.google.com/?cid=18436153609575505000).
* [Saint-Denis - Pleyel](https://maps.google.com/?cid=5859539825717136462) at 93200 Saint-Denis, France. It has a 4.7 star rating on [Google Maps](https://maps.google.com/?cid=5859539825717136462).
* [Stade de France - Saint Denis](http://transilien.com/) at Place aux Etoiles, 93210 Saint-Denis, France. It has a 4 star rating on [Google Maps](https://maps.google.com/?cid=3321013865433116042).
* [Front Populaire](https://maps.google.com/?cid=12389174427229872748) at 93300 Aubervilliers, France. It has a 4 star rating on [Google Maps](https://maps.google.com/?cid=12389174427229872748).

I hope this helps!
",Schedule,
When are the table tennis events happening in Paris 2024?,Agent based GPT-4o-mini,"The table tennis events at the Paris 2024 Olympics are scheduled as follows:

### July 27, 2024
- **Event:** Men's/Women's Singles Preliminary Round, Mixed Doubles Round 1
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Round 1
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### July 28, 2024
- **Event:** Men's/Women's Singles Round 1
  - **Time:** 10:00 - 14:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Mixed Doubles Quarterfinals
  - **Time:** 16:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Round 1
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### July 29, 2024
- **Event:** Men's/Women's Singles Round 1
  - **Time:** 10:00 - 14:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Mixed Doubles Semifinals
  - **Time:** 16:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Round 2
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### July 30, 2024
- **Event:** Men's/Women's Singles Round 2
  - **Time:** 10:00 - 12:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Mixed Doubles Medal Finals
  - **Time:** 13:30 - 16:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### July 31, 2024
- **Event:** Men's/Women's Singles Round 2
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Round 3
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Round 3
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 1, 2024
- **Event:** Men's/Women's Singles Quarterfinals
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Quarterfinals
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Quarterfinals
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 2, 2024
- **Event:** Men's/Women's Singles Semifinals
  - **Time:** 10:00 - 12:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Singles Semifinals
  - **Time:** 13:30 - 15:30
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 3, 2024
- **Event:** Women's Singles Medal Finals
  - **Time:** 13:30 - 16:00
  - **Location:** La Courneuve Shooting Range
  - **Closest Metro:** La Courneuve (Metro 13)

### August 4, 2024
- **Event:** Men's Singles Medal Finals
  - **Time:** 13:30 - 16:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 5, 2024
- **Event:** Men's/Women's Team Round of 16
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Team Round of 16
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Team Round of 16
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 6, 2024
- **Event:** Men's/Women's Team Round of 16
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Team Quarterfinals
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Team Quarterfinals
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 7, 2024
- **Event:** Men's/Women's Team Quarterfinals
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's/Women's Team Quarterfinals
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's Team Semifinals
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 8, 2024
- **Event:** Men's Team Semifinals
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Women's Team Semifinals
  - **Time:** 15:00 - 18:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Women's Team Semifinals
  - **Time:** 20:00 - 23:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 9, 2024
- **Event:** Men's Team Bronze Medal Final
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Men's Team Gold Medal Final
  - **Time:** 15:00 - 18:30
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

### August 10, 2024
- **Event:** Women's Team Bronze Medal Final
  - **Time:** 10:00 - 13:00
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

- **Event:** Women's Team Gold Medal Final
  - **Time:** 15:00 - 18:30
  - **Location:** Porte de Versailles Exhibition Centre
  - **Closest Metro:** Porte de Versailles (Metro 12)

If you need more specific information about any event, feel free to ask!",Schedule,"          Date         Sport  \
36     July 27  table tennis   
37     July 27  table tennis   
89     July 28  table tennis   
90     July 28  table tennis   
91     July 28  table tennis   
146    July 29  table tennis   
147    July 29  table tennis   
148    July 29  table tennis   
193    July 30  table tennis   
194    July 30  table tennis   
227    July 31  table tennis   
241    July 31  table tennis   
256    July 31  table tennis   
280   August 1  table tennis   
281   August 1  table tennis   
282   August 1  table tennis   
356   August 2  table tennis   
357   August 2  table tennis   
426   August 3  table tennis   
481   August 4  table tennis   
534   August 5  table tennis   
535   August 5  table tennis   
536   August 5  table tennis   
587   August 6  table tennis   
588   August 6  table tennis   
589   August 6  table tennis   
641   August 7  table tennis   
642   August 7  table tennis   
643   August 7  table tennis   
687   August 8  table tennis   
688   August 8  table tennis   
689   August 8  table tennis   
738   August 9  table tennis   
739   August 9  table tennis   
780  August 10  table tennis   
781  August 10  table tennis   

                                                 Event        Time  \
36   m/w singles preliminary round, mixed doubles r...   1500-1800   
37                                 m/w singles round 1   2000-2300   
89                                 m/w singles round 1   1000-1400   
90                              mixed doubles quarters   1600-1800   
91                                 m/w singles round 1   2000-2300   
146                                m/w singles round 1   1000-1400   
147                                mixed doubles semis   1600-1800   
148                                m/w singles round 2   2000-2300   
193                                m/w singles round 2   1000-1200   
194                         mixed doubles medal finals   1330-1600   
227                                m/w singles round 2   1000-1300   
241                                m/w singles round 3   1500-1800   
256                                m/w singles round 3   2000-2300   
280                               m/w singles quarters  1000-1300,   
281                               m/w singles quarters  1500-1800,   
282                               m/w singles quarters   2000-2300   
356                                  m/w singles semis   1000-1200   
357                                  m/w singles semis   1330-1530   
426                     singles medal finals - women's   1330-1600   
481                       singles medal finals - men's   1330-1600   
534                               m/w team round of 16   1000-1300   
535                               m/w team round of 16   1500-1800   
536                               m/w team round of 16   2000-2300   
587                               m/w team round of 16   1000-1300   
588                                  m/w team quarters   1500-1800   
589                                  m/w team quarters   2000-2300   
641                                  m/w team quarters   1000-1300   
642                                  m/w team quarters   1500-1800   
643                            team semifinals - men's   2000-2300   
687                            team semifinals - men's   1000-1300   
688                          team semifinals - women's   1500-1800   
689                          team semifinals - women's   2000-2300   
738                    team bronze medal final - men's   1000-1300   
739                      team gold medal final - men's   1500-1830   
780                  team bronze medal final - women's   1000-1300   
781                    team gold medal final - women's   1500-1830   

    Additional details                               Location  \
36                 NaN  porte de versailles exhibition centre   
37                 NaN  porte de versailles exhibition centre   
89                 NaN  porte de versailles exhibition centre   
90                 NaN  porte de versailles exhibition centre   
91                 NaN  porte de versailles exhibition centre   
146                NaN  porte de versailles exhibition centre   
147                NaN  porte de versailles exhibition centre   
148                NaN  porte de versailles exhibition centre   
193                NaN  porte de versailles exhibition centre   
194                NaN  porte de versailles exhibition centre   
227                NaN  porte de versailles exhibition centre   
241                NaN  porte de versailles exhibition centre   
256                NaN  porte de versailles exhibition centre   
280                NaN  porte de versailles exhibition centre   
281                NaN  porte de versailles exhibition centre   
282                NaN  porte de versailles exhibition centre   
356                NaN  porte de versailles exhibition centre   
357                NaN  porte de versailles exhibition centre   
426                NaN            la courneuve shooting range   
481                NaN  porte de versailles exhibition centre   
534                NaN  porte de versailles exhibition centre   
535                NaN  porte de versailles exhibition centre   
536                NaN  porte de versailles exhibition centre   
587                NaN  porte de versailles exhibition centre   
588                NaN  porte de versailles exhibition centre   
589                NaN  porte de versailles exhibition centre   
641                NaN  porte de versailles exhibition centre   
642                NaN  porte de versailles exhibition centre   
643                NaN  porte de versailles exhibition centre   
687                NaN  porte de versailles exhibition centre   
688                NaN  porte de versailles exhibition centre   
689                NaN  porte de versailles exhibition centre   
738                NaN  porte de versailles exhibition centre   
739                NaN  porte de versailles exhibition centre   
780                NaN  porte de versailles exhibition centre   
781                NaN  porte de versailles exhibition centre   

                      Closest Metro Start time  
36   porte de versailles (metro 12)      15:00  
37   porte de versailles (metro 12)      20:00  
89   porte de versailles (metro 12)      10:00  
90   porte de versailles (metro 12)      16:00  
91   porte de versailles (metro 12)      20:00  
146  porte de versailles (metro 12)      10:00  
147  porte de versailles (metro 12)      16:00  
148  porte de versailles (metro 12)      20:00  
193  porte de versailles (metro 12)      10:00  
194  porte de versailles (metro 12)      13:30  
227  porte de versailles (metro 12)      10:00  
241  porte de versailles (metro 12)      15:00  
256  porte de versailles (metro 12)      20:00  
280  porte de versailles (metro 12)      10:00  
281  porte de versailles (metro 12)      15:00  
282  porte de versailles (metro 12)      20:00  
356  porte de versailles (metro 12)      10:00  
357  porte de versailles (metro 12)      13:30  
426         la courneuve (metro 13)      13:30  
481  porte de versailles (metro 12)      13:30  
534  porte de versailles (metro 12)      10:00  
535  porte de versailles (metro 12)      15:00  
536  porte de versailles (metro 12)      20:00  
587  porte de versailles (metro 12)      10:00  
588  porte de versailles (metro 12)      15:00  
589  porte de versailles (metro 12)      20:00  
641  porte de versailles (metro 12)      10:00  
642  porte de versailles (metro 12)      15:00  
643  porte de versailles (metro 12)      20:00  
687  porte de versailles (metro 12)      10:00  
688  porte de versailles (metro 12)      15:00  
689  porte de versailles (metro 12)      20:00  
738  porte de versailles (metro 12)      10:00  
739  porte de versailles (metro 12)      15:00  
780  porte de versailles (metro 12)      10:00  
781  porte de versailles (metro 12)      15:00  "
When are the table tennis events happening in Paris 2024?,ChatGPT GPT-4o,"The table tennis events at the **Paris 2024 Summer Olympics** will take place from **July 27 to August 10, 2024**. The events will be held at the **Champ de Mars Arena** in Paris, with competition across five categories:

1. **Men's Singles**
2. **Women's Singles**
3. **Men's Team**
4. **Women's Team**
5. **Mixed Doubles**

Here's a general breakdown of the schedule:

- **Early rounds for singles and mixed doubles**: Starting July 27
- **Mixed doubles final**: Expected around July 30
- **Singles finals**: Expected in the first week of August
- **Team events**: Following the singles events, with finals around August 9 and August 10

The specific match times and detailed schedules will be closer to the event and may be subject to updates.",Schedule,
When are the table tennis events happening in Paris 2024?,Gemini,"The table tennis events at the Paris 2024 Olympics took place from July 27th to August 10th, 2024. 

You can find more details about the schedule and results on the official Paris 2024 Olympics website: [https://olympics.com/en/paris-2024/schedule/table-tennis](https://olympics.com/en/paris-2024/schedule/table-tennis)
",Schedule,
When are the table tennis events happening in Paris 2024?,Meta AI,"The table tennis events at the Paris 2024 Olympic Games are scheduled to take place from July 27 to August 10, 2024 ¹.
Olympic Table Tennis Event Dates:
July 27-30: Initial rounds
July 31-August 10: Finals and medal events ¹
Additionally, the Paris 2024 Paralympic Games will feature table tennis events from August 29 to September 7, 2024 ¹.
Paralympic Table Tennis Event Dates:
August 29-September 1: Initial rounds
September 2-7: Finals and medal events ¹
Please note that these dates are subject to change. For the most up-to-date information, I recommend checking the official International Table Tennis Federation website or the Paris 2024 Olympic and Paralympic Games website ¹.",Schedule,
Who is competing for brazil in the mens street qualifiers in Paris 2024?,Agent based GPT-4o-mini,"In the Men's Street qualifiers for the Paris 2024 Olympics, Brazil is represented by the following athletes:

1. **Kevin Hoefler** - A prominent Brazilian skateboarder known for his technical skills and creativity in street skating.
2. **Giovanni Vianna** - Another talented skater from Brazil, recognized for his strong performances in competitions.
3. **Felipe Gustavo** - A well-known figure in the skateboarding community, Felipe has a reputation for his smooth style and versatility.
4. **Gabryel Augilar** - A rising star in Brazilian skateboarding, showcasing impressive skills on the street.
5. **Lucas Rabelo** - Known for his dynamic skating and ability to perform under pressure.
6. **Filipe Mota** - A talented skater who has made a name for himself in the competitive scene.

These athletes will be competing for a chance to qualify for the Olympic Games, showcasing their skills and representing Brazil on an international stage. For more information about the qualifiers and other athletes, you can visit [World Skate](https://www.worldskate.org/), the official skateboarding partner for the Paris 2024 Olympics.",Skateboarding,"Men (Street)
Shirai Sora (JPN)
Nyjah Huston (USA)
Gustavo Ribeiro (POR)
Aurelien Giraud (FRA)
Netsuke Kairi (JPN)
Onodera Ginwoo (JPN)
Horigome Yuto (JPN)
Richard Tury (SVK)
Kevin Hoefler (BRA)
Sasaki Toa (JPN)
Cordano Russell (CAN)
Jagger Eaton (USA)
Vincent Milou (FRA)
Ryan Decenzo (CAN)
Aoki Yukito (JPN)
Alex Milder (USA)
Giovanni Vianna (BRA)
Chris Joslin (USA)
Matias Dell Olio (ARG)
Braden Hoban (USA)
Mauro Iglesia (ARG)
Felipe Gustavo (BRA)
Gabryel Augilar (BRA)
Matt Berger (CAN)
Jhancarlos Gonzalez Ortiz (COL)
Deivid Tuesta (PER)
Micky Papa (CAN)
Joseph Garbaccio (FRA)
Shane O'Neill (AUS)
Angelo Caro (PER)
Jake Ilardi (USA)
Rome Collyer (AUS)
Greg Rodriguez (MEX)
Kristoffer Kroon (SWE)
Justin Sommer (GER)
Lucas Rabelo (BRA)
Joe Hinson (GBR)
Tommy Flynn (AUS)
Filipe Mota (BRA)
Agustin Aquila (ITA)
Kilian Zehnder (SUI)
Gabriel Ribeiro (POR)
Brandon Valjalo (RSA)
Zhang Jie (CHN)

Men (Park)
Gavin Bottger (USA)
Jagger Easton (USA)
Augusto Akio (BRA)
Tate Carew (USA)
Luigi Cini (BRA)
Pedro Barros (BRA)
Tom Schaar (USA)
Kieran Woolley (AUS)
Danny Leon (ESP)
Steven Pineiro (PUR)
Keegan Palmer (AUS)
Liam Pace (USA)
Nagahara Yuro (JPN)
Hampus Winberg (SWE)
Keefer Wilson (AUS)
Viktor Solmunde (DEN)
Pedro Quintas (BRA)
Alessandro Mazzara (ITA)
Alex Sorgente (ITA)
Pedro Carvalho (BRA)
Ash Wilcomes (AUS)
Taylor Nye (USA)
Vincent Matheron (FRA)
Elias Nilsen (NOR)
Tyler Edtmayer (GER)
Murilo Peres (BRA)
Rune Glifberg (DEN)
Tommy Calvert (GBR)
Peio Gonzalez (ESP)
Noe Montagard (FRA)
Thomas Augusto (POR)
Kiki Francisco (PHL)
Egoitz Bijueska (ESP)
Yam Behar (ISR)
Edouard Damestoy (FRA)
Ethan Copeland (AUS)
Omar Cocilova (ARG)
George O'Neill (GBR)
Alain Kortabitarte (ESP)
Andrew Macdonald (GBR)
Tom Martin (FRA)
Phoenix Sinnerton (AUS)
Chen Ye (CHN)
Dallas Oberholzer (RSA)

Women (Street)
Nishiya Momiji (JPN)
Rayssa Leal (BRA)
Oda Yumeka (JPN)
Chloe Covell (AUS)
Akama Liz (JPN)
Nakayama Funa (JPN)
Yoshizawa Coco (JPN)
Pamela Rosa (BRA)
Ito Miyu (JPN)
Paige Heyn (USA)
Gabi Mazetto (BRA)
Roos Zwetsloot (NED)
Cui Chenxi (CHN)
Daniela Terol (ESP)
Liv Lovelace (AUS)
Keet Oldenbeuving (NED)
Haylie Powell (AUS)
Zeng Wenhui (CHN)
Natalia Munoz (ESP)
Mariah Duran (USA)
Lucie Schoonheere (FRA)
Lore Bruggeman (BEL)
Jazmin Alvarez (COL)
Poe Pinson (USA)
Candy Jacobs (NED)
Charlotte Hym (FRA)
Felicity Turner (AUS)
Ha Siye (KOR)
Kemily Suiara (BRA)
Zhang Yan (CHN)
Zhu Yuanling (CHN)
Isabelly Avila (BRA)
Jessica Ready (NZL)
Afrika Criado Oliva (ESP)
Aldana Bertran (ARG)
Jeromine Lourvet (FRA)
Samantha Secours (CAN)
Vareeraya Sukasem (THA)
Lan Junyi (CHN)
Ailin Arzua (ARG)
Meagan Guy (USA)
Marina Gabriela (BRA)
Weronika Choromanska (POL)
Boipelo Awuah (RSA)

Women (Park)
Hiraki Kokona (JPN)
Kusaki Hinano (JPN)
Sky Brown (GBR)
Naia Laso (ESP)
Yosozumi Sakura (JPN)
Minna Stess (USA)
Raicca Ventura (BRA)
Ruby Trew (AUS)
Bryce Wettstein (USA)
Lilly Stoephasius (GER)
Arisa Trew (AUS)
Ruby Lilley (USA)
Lola Tambling (GBR)
Dora Varella (BRA)
Grace Marhoefer (USA)
Yndiara Asp (BRA)
Hasegawa Mizuho (JPN)
Jordyn Barratt (USA)
Lillian Erickson (USA)
Isadora Pacheco (BRA)
Sugawara Mei (JPN)
Cho Hyunju (KOR)
Nakamura Kisa (JPN)
Emilie Alexandre (FRA)
Heili Sirvio (FIN)
Fay Ebert (CAN)
Julia Benedetti (ESP)
Poppy Starr (AUS)
Charlotte Heath (AUS)
Nana Taboulet (FRA)
Gadea Moja (ESP)
Lilly Strachan (GBR)
Aaliyah Wilson (AUS)
Coco Crafter (AUS)
Li Yujuan (CHN)
Hedda Hjertberg (SWE)
Zheng Haohao (CHN)
Victoria Bassi (BRA)
Lucrezia Zarattini (ITA)
Madeleine Larcheron (FRA)
Fernanda Tonissi (BRA)
Ceci Rendueles (ESP)
Alisa Fessi (AUT)
Aya Asaqas (MAR)"
