Date,Sport,Event,Time,Additional details,Location,Closest Metro,Start time
August 8,weightlifting,73kg final - men's,1930-2200,,le bourget exhibition centre,le bourget (rer b),19:30
August 9,canoe sprint,"m k2 500m, w c1 200m, w k2 500m semis and finals",1030-1440,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),10:30
August 9,wrestling,"m freestyle 57kg, m freestyle 86kg, w freestyle 57kg repechage, m freestyle 74kg, m freestyle 125kg, w freestyle 62kg round of 16 and quarters",1100-1330,,two locations – check official documentation,,11:00
August 9,wrestling,"m freestyle 74kg, m freestyle 125kg, w freestyle 62kg semis, m freestyle 57kg, m freestyle 86kg, w freestyle 57kg medal finals",1815-2145,,two locations – check official documentation,,18:15
August 9,hockey,bronze-medal game - women's,1400-1600,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),14:00
August 9,hockey,gold-medal game - women's,2000-2230,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),20:00
August 9,handball,semifinals - men's,1630-1830,,stade pierre de coubertin,porte de vincennes (metro 1),16:30
August 9,handball,semifinals - men's,2130-2330,,stade pierre de coubertin,porte de vincennes (metro 1),21:30
August 9,athletics,heptathlon long jump - women's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 9,athletics,4x400m relay round 1 - women's,1040,,stade de france,stade de france - saint-denis (rer d),10:40
August 9,athletics,4x400m relay round 1 - men's,1105,,stade de france,stade de france - saint-denis (rer d),11:05
August 9,athletics,heptathlon javelin throw a - women's,1120,,stade de france,stade de france - saint-denis (rer d),11:20
August 9,athletics,800m semis - men's,1130,,stade de france,stade de france - saint-denis (rer d),11:30
August 9,athletics,100m hurdles semis - women's,1205,,stade de france,stade de france - saint-denis (rer d),12:05
August 9,athletics,heptathlon javelin throw b - women's,1230,,stade de france,stade de france - saint-denis (rer d),12:30
August 9,athletics,4x100m relay final - women's,1930,,stade de france,stade de france - saint-denis (rer d),19:30
August 9,athletics,shot put final - women's,1940,,stade de france,stade de france - saint-denis (rer d),19:40
August 9,athletics,4x100m relay final - men's,1945,,stade de france,stade de france - saint-denis (rer d),19:45
August 9,athletics,400m final - women's,2000,,stade de france,stade de france - saint-denis (rer d),20:00
August 9,athletics,triple jump final - men's,2010,,stade de france,stade de france - saint-denis (rer d),20:10
August 9,athletics,heptathlon 800m final - women's,2015,,stade de france,stade de france - saint-denis (rer d),20:15
August 9,athletics,"10,000m final - women's",2055,,stade de france,stade de france - saint-denis (rer d),20:55
August 9,athletics,400m hurdles final - men's,2145,,stade de france,stade de france - saint-denis (rer d),21:45
August 9,diving,m 10m platform preliminary,1000-1200,,stade aquatique,stade de france - saint-denis (rer d),10:00
August 9,diving,3m springboard final - women's,1500-1700,,stade aquatique,stade de france - saint-denis (rer d),15:00
August 9,water polo,m classification matches & semis (2 matches),1300-1600,,stade aquatique,stade de france - saint-denis (rer d),13:00
August 9,water polo,m classification matches & semis (2 matches),1800-2100,,stade aquatique,stade de france - saint-denis (rer d),18:00
August 9,boxing,"w 50kg, w 66kg, m 71kg, m 92kg final",2130-2330,,roland-garros stadium,porte d'auteuil (metro 10),21:30
August 9,breaking,individual qualifying - women's,1600-1810,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),16:00
August 9,breaking,individual final - women's,2000-2200,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:00
August 9,track cycling,"m sprint semis, w sprint qualifying, early rounds, repechage rounds",1400-1600,,roland-garros stadium,porte d'auteuil (metro 10),14:00
August 9,track cycling,"m sprint medal finals, w madison final, w sprint early rounds, repechage rounds",1800-2015,,roland-garros stadium,porte d'auteuil (metro 10),18:00
August 9,table tennis,team bronze medal final - men's,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 9,table tennis,team gold medal final - men's,1500-1830,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 9,sport climbing,boulder/lead medal final - men's ,1000-1330,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),10:00
August 9,marathon swimming,10km marathon final - men's,0730-1030,,pont alexandre iii,invalides (rer c and metro 13/8) or franklin d. roosevelt (metro 1/8). check ticket location and official website as bridge is closed. ,07:30
August 9,football,bronze-medal game - women's,1500-1800,,multiple locations - check official documentation,,15:00
August 9,football,gold-medal game - men's,1800-2130,,multiple locations - check official documentation,,18:00
August 9,weightlifting,89kg final - men's,1500-1730,,le bourget exhibition centre,le bourget (rer b),15:00
August 9,weightlifting,71kg final - women's,1930-2200,,le bourget exhibition centre,le bourget (rer b),19:30
August 9,volleyball,bronze-medal game - men's,1600-1830,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),16:00
August 9,golf,golf round 3 - women's,0900-1800,,golf national,guyancourt (rer c),09:00
August 9,beach volleyball,m or w medal finals (2 matches),2100-0000,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 9,modern pentathlon,semi-final 1 and semi-final 2 - men's,1300-1900,,château de versailles,versailles château - rive gauche (rer c),13:00
August 9,rhythmic gymnastics,group all-around qualification,1000-1230,,château de versailles,versailles château - rive gauche (rer c),10:00
August 9,rhythmic gymnastics,ind. all-around final,1430-1700,,château de versailles,versailles château - rive gauche (rer c),14:30
August 9,taekwondo,"m 80kg, w 67kg qualification rounds",0900-1230,,champ de mars arena,ecole militaire (metro 8),09:00
August 9,taekwondo,"m 80kg, w 67kg quarters, semis",1430-1730,,champ de mars arena,ecole militaire (metro 8),14:30
August 9,taekwondo,"m 80kg, w 67kg repechage rounds and medal finals",1930-2300,,champ de mars arena,ecole militaire (metro 8),19:30
August 9,artistic swimming,duet technical routine,1930-2130,,bercy arena,bercy (metro 6),19:30
August 9,basketball,semifinals - women's,1730-1930,,bercy arena,bercy (metro 6),17:30
August 9,basketball,semifinals - women's,2100-2300,,bercy arena,bercy (metro 6),21:00
August 10,canoe sprint,"m c1 1000m, m k1 1000m, w k1 500m semis and finals",1030-1420,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),10:30
August 10,wrestling,"m freestyle 74kg, m freestyle 125kg, w freestyle 62kg repechage, m freestyle 65kg, m freestyle 97kg, w freestyle 76kg round of 16 and quarters",1100-1330,,two locations – check official documentation,,11:00
August 10,wrestling,"m freestyle 65kg, m freestyle 97kg, w freestyle 76kg semis, m freestyle 74kg, m freestyle 125kg, w freestyle 62kg medal finals",1815-2145,,two locations – check official documentation,,18:15
August 10,handball,bronze-medal game - women's,1000-1200,,stade pierre de coubertin,porte de vincennes (metro 1),10:00
August 10,handball,gold-medal game - women's,1500-1730,,stade pierre de coubertin,porte de vincennes (metro 1),15:00
August 10,athletics,marathon final - men's,0800-1100,,stade de france,stade de france - saint-denis (rer d),08:00
August 10,athletics,high jump final - men's,1910,,stade de france,stade de france - saint-denis (rer d),19:10
August 10,athletics,800m final - men's,1925,,stade de france,stade de france - saint-denis (rer d),19:25
August 10,athletics,javelin throw final - women's,1940,,stade de france,stade de france - saint-denis (rer d),19:40
August 10,athletics,100m hurdles final - women's,1945,,stade de france,stade de france - saint-denis (rer d),19:45
August 10,athletics,5000m final - men's,2000,,stade de france,stade de france - saint-denis (rer d),20:00
August 10,athletics,1500m final - women's,2025,,stade de france,stade de france - saint-denis (rer d),20:25
August 10,athletics,4x400m relay final - men's,2112,,stade de france,stade de france - saint-denis (rer d),21:12
August 10,athletics,4x400m relay final - women's,2122,,stade de france,stade de france - saint-denis (rer d),21:22
August 10,diving,m 10m platform semis,1000-1200,,stade aquatique,stade de france - saint-denis (rer d),10:00
August 10,diving,10m platform final - men's,1500-1700,,stade aquatique,stade de france - saint-denis (rer d),15:00
August 10,water polo,bronze-medal game - women's,0900-1200,,stade aquatique,stade de france - saint-denis (rer d),09:00
August 10,water polo,"w/m classification matches, w gold-medal game",1400-2100,,stade aquatique,stade de france - saint-denis (rer d),14:00
August 10,boxing,"w 57kg, w 75kg, m 57kg, m +92kg final",2130-2330,,roland-garros stadium,porte d'auteuil (metro 10),21:30
August 10,breaking,individual qualifying - men's,1600-1810,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),16:00
August 10,breaking,individual final - men's ,2000-2200,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),20:00
August 10,track cycling,"m keirin first round, repechage, m madison final, w sprint quarters, classification races",1700-2020,,roland-garros stadium,porte d'auteuil (metro 10),17:00
August 10,table tennis,team bronze medal final - women's,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 10,table tennis,team gold medal final - women's,1500-1830,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 10,sport climbing,boulder/lead medal final - women's ,1000-1330,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),10:00
August 10,football,gold-medal game - women's,1700-2030,,multiple locations - check official documentation,,17:00
August 10,weightlifting,102kg final - men's,1130-1400,,le bourget exhibition centre,le bourget (rer b),11:30
August 10,weightlifting,81kg final - women's,1600-1830,,le bourget exhibition centre,le bourget (rer b),16:00
August 10,weightlifting,102kg+ final - men's,2030-2300,,le bourget exhibition centre,le bourget (rer b),20:30
August 10,volleyball,gold-medal game - men's,1300-1545,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
August 10,volleyball,bronze-medal game - women's,1715-1945,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:15
August 10,golf,golf round 4 (medal final) - women's,0900-1830,,golf national,guyancourt (rer c),09:00
August 10,beach volleyball,m or w medal finals (2 matches),2100-0000,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 10,modern pentathlon,semi-final 1 and semi-final 2 - women's,0930-1530,,château de versailles,versailles château - rive gauche (rer c),09:30
August 10,modern pentathlon,final - men's,1730-2000,,château de versailles,versailles château - rive gauche (rer c),17:30
August 10,rhythmic gymnastics,group all-around final,1400-1545,,château de versailles,versailles château - rive gauche (rer c),14:00
August 10,taekwondo,"m +80kg, w +67kg qualification rounds",0900-1230,,champ de mars arena,ecole militaire (metro 8),09:00
August 10,taekwondo,"m +80kg, w +67kg quarters, semis",1430-1730,,champ de mars arena,ecole militaire (metro 8),14:30
August 10,taekwondo,"m +80kg, w +67kg repechage rounds and medal finals",1930-2300,,champ de mars arena,ecole militaire (metro 8),19:30
August 10,artistic swimming,duet free routine (medal final),1930-2200,,bercy arena,bercy (metro 6),19:30
August 10,basketball,bronze-medal game - men's,1100-1300,,bercy arena,bercy (metro 6),11:00
August 10,basketball,gold-medal game - men's,2130-0000,,bercy arena,bercy (metro 6),21:30
August 11,athletics,marathon final - women's,0800-1115,,stade de france,stade de france - saint-denis (rer d),08:00
August 11,basketball,bronze-medal game - women's,1130-1330,,bercy arena,bercy (metro 6),11:30
August 11,basketball,gold-medal game - women's,1530-1800,,bercy arena,bercy (metro 6),15:30
August 11,handball,bronze-medal game - men's,0900-1100,,stade pierre de coubertin,porte de vincennes (metro 1),09:00
August 11,handball,gold-medal game - men's,1330-1600,,stade pierre de coubertin,porte de vincennes (metro 1),13:30
August 11,modern pentathlon,final - women's,1100-1330,,château de versailles,versailles château - rive gauche (rer c),11:00
August 11,track cycling,"m keirin quarters, semis, medal finals, w sprint semis, medal finals, w omnium (medal final)",1100-1440,,roland-garros stadium,porte d'auteuil (metro 10),11:00
August 11,volleyball,gold-medal game - women's,1300-1545,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
August 11,water polo,bronze-medal game - men's,0900-1200,,stade aquatique,stade de france - saint-denis (rer d),09:00
August 11,water polo,gold-medal game - men's,1400-1550,,stade aquatique,stade de france - saint-denis (rer d),14:00
August 11,weightlifting,81kg+ final - women's,1130-1400,,le bourget exhibition centre,le bourget (rer b),11:30
August 11,wrestling,"m freestyle 65kg, m freestyle 97kg, w freestyle 76kg repechage and medal finals",1100-1415,,two locations – check official documentation,,11:00
August 11,-,closing ceremony,-,,,,-:-
